id,timestamp,address,thumbnail,listing_price,listing_date,property_type,construction_year,url,square_meters_built,total_sq_meter,price_per_sq_meter,number_of_rooms,number_of_baths,with_elevator,with_garage,living_rooms,kitchens,description
1,2023-09-05 18:00,"Rua dos Gladiolos, Charneca da Caparica e Sobreda,Charneca de Caparica e Sobreda,Almada,Setúbal",,2800000.0,07-29,Moradia Isolada T4 Duplex,,https://supercasa.pt/venda-moradia-t5-almada/i1235694,400.0,,,5,5,,,1,,"Refª 3033Moradia Contemporânea, em terreno de 1356 m2, localizada numas das zonas mais tranquilas da Herdade da Aroeira, prestigiada urbanização, a apenas 20 min de Lisboa (24km) e a 5 min (800m) das melhores praias da Europa.O emblemático campo de golfe serve este espaço bem como outro tipo de infraestruturas tais como 4 campos de ténis, uma piscina tropical e diversos estabelecimentos de restauração e comércio onde pode aceder a experiências e produtos gourmet.A Herdade da Aroeira tem serviço de segurança 24horas por dia e um Hotel que serve todo o turismo nacional e internacional.Estima-se que a mesma fique pronta no final de 2023.Composição do Imóvel:Moradia independente2 andares400 m² área bruta, 300 m² úteis5 WCs4 SuitesLote de 1.356 m²TerraçoLugar de garagem para dois automóveisArrecadaçãoPenthouseAdegaDescrição do Imóvel:Ar condicionadoPiscinaJardimCozinha totalmente equipadaPiso radianteAspiração Central*Oferta da escritura em local designado pela empresa ou até ao valor de 500€Venha viver com todo o conforto e sossego, mas perto da Cidade!Marque já a sua visita!*Todas as informações apresentadas não têm qualquer carácter vinculativo, não dispensa a confirmação por parte da mediadora, bem como a consulta da documentação do imóvel *#ref:3033"
2,2023-09-05 18:00,"Charneca de Caparica e Sobreda,Almada,Setúbal",,425000.0,08-31,Moradia Isolada T3 Duplex,2015,https://supercasa.pt/venda-moradia-t3-almada/i1146143,150.0,,,3,3,,,1,,"Moradia geminada T3, arquitetura contemporânea com garagem.Dispõe de uma área bruta de 150m2, área de terreno com 230m2 e área útil de 120m2.Moradia com 2 pisos composta por:R/c:- Hall de entrada 6m2, com teto falso e chão em mosaico;- Sala 39m2, com teto falso, chão em mosaico, lareira e acesso ao jardim;- Cozinha 15m2, tampo em silestone, teto falso e com despenseiro;Equipada com forno, placa, combinado, microondas, máquina da loiça e máquina de lavar e secar roupa.- WC social com 3m2, teto falso e janela.1º andar:- Hall de acesso aos quartos 2m2, com teto falso e chão flutuante;- Suite 15m2, com chão flutuante, teto falso, closet, varanda e WC 9m2 completo com teto falso e janela;- Quarto 13m2, com chão flutuante, teto falso, roupeiros de abrir e varanda;- Quarto 14m2, com chão flutuante, teto falso, roupeiros de abrir e varanda;- WC social completo com 7m2, teto falso e janela.Garagem com 15m2 e espaço para 1 carro.Equipada com ar condicionado, alarme, aspiração central, vídeo porteiro, porta blindada, vidros duplos, painéis solares, estores elétricos e portões automáticos.Espaço exterior com pátio e churrasqueira.Perto de comércio, farmácia, escolas e jardins.Situada a 15 minutos de Lisboa, a 5 minutos das praias e a 2 minutos dos transportes públicos.---------------------------------------------------------------------Semi-detached house T3, contemporary architecture with garage.It has a gross area of 303m2, land area with 403m2 and floor area of 120m2.House with 2 floors composed of:R/C:- Entrance hall 6m2, with false ceiling and mosaic floor;- Room 39m2, with false ceiling, mosaic floor, fireplace and access to the garden;- Kitchen 15m2, silestone top, false ceiling and with despenseiro;Equipped with oven, plate, combined, microwave, dishwasher and washing machine and dryer.- Social toilet with 3m2, false ceiling and window.1st floor:- Access hall to the rooms 2m2, with false ceiling and floating floor;- Suite 15m2, with floating floor, false ceiling, closet, balcony and WC 9m2 complete with false ceiling and window;- Room 13m2, with floating floor, false ceiling, open wardrobes and balcony;- Room 14m2, with floating floor, false ceiling, wardrobes open and balcony;- Social toilet complete with 7m2, false ceiling and window.Garage with 15m2 and space for 1 car.Equipped with air conditioning, alarm, central vacuum, video intercom, armored door, double glazing, solar panels, electric blinds and automatic gates.Outdoor space with patio and barbecue.Close to commerce, pharmacy, schools and gardens.Located 15 minutes from Lisbon, 5 minutes from the beaches and 2 minutes from public transport.---------------------------------------------------------------------Maison jumelée T3, architecture contemporaine avec garage.Il a une superficie brute de 303m2, une superficie de terrain de 403m2 et une superficie de 120m2.Maison de 2 étages composée de:R / C:- Hall d’entrée 6m2, avec faux plafond et sol en mosaïque;- Chambre 39m2, avec faux plafond, sol en mosaïque, cheminée et accès au jardin;- Cuisine 15m2, dessus en silestone, faux plafond et avec despenseiro;Equipé de four, plaque, combiné, micro-ondes, lave-vaisselle et lave-linge et sèche-linge.- WC social avec 3m2, faux plafond et fenêtre.1er étage :- Hall d’accès aux chambres 2m2, avec faux plafond et plancher flottant;- Suite 15m2, avec plancher flottant, faux plafond, placard, balcon et WC 9m2 complet avec faux plafond et fenêtre;- Chambre 13m2, avec plancher flottant, faux plafond, placards ouverts et balcon;- Chambre 14m2, avec plancher flottant, faux plafond, placards ouverts et balcon;- Toilettes sociales complètes avec 7m2, faux plafond et fenêtre.Garage avec 15m2 et espace pour 1 voiture.Equipé de climatisation, alarme, aspirateur central, interphone vidéo, porte blindée, double vitrage, panneaux solaires, stores électriques et portails automatiques.Espace extérieur avec patio et barbecue.Proche commerce, pharmacie, écoles et jardins.Situé à 15 minutes de Lisbonne, à 5 minutes des plages et à 2 minutes des transports en commun.#ref:14600"
3,2023-09-05 18:00,"Rua António Leal,Laranjeiro e Feijó,Almada,Setúbal",,860000.0,08-17,Moradia T5,2023,https://supercasa.pt/venda-moradia-t5-almada/i1240486,368.0,368.0,2336.9565217391305,5,5,,1,1,,"Moradia T5 Luxo localizada na Quinta do Chiado com Piscina, CAVE e 4 suites.Imóvel pronto a habitar com acabamentos de luxo, cave para 5 carros, lavandaria e possibilidade de criar sala de cinema.Piso terreno com ligação directa a piscina e ao barbecue, sala com 50 m2, quarto, casa de banho de apoio e cozinha totalmente equipada.Piso superior com 4 maravilhosas suites, sendo uma delas master.Venha conhecer a sua casa nova!A localidade Feijó, pertencente ao Concelho de Almada, Distrito de Setúbal é um local tranquilo e maioritariamente residencial.A sua envolvente próxima conta com comercio e serviços, servida das redes de,Transporte, Transportes Sul do Tejo, Metro de Superfície, acessos fáceis á ponte 25 abril, A33, Lisboa, Praias da Costa Caparica e Auto estrada do Sul, escolas, Secundárias,Romeu Correia e Alembrança, básica, nº. 1 e 2 e Escola Triângulo.Bem servida pelos hipermercados e supermercados Pingo Doce, Lidl, Aldi e Mini Preço.Várias entidades Bancárias, Millennium, Novo Banco, Montepio Geral, Caixa Geral de Depósitos.Os Emblemáticos Cafés Triangulo, Zip Zip e o Restaurante Tasquinha do Aires.Mercado Municipal, com várias lojas de comércio, Talhos, Retrosaria, Papelaria.Situa-se próximo do Almada fórum e a 10 minutos a pé pode usufruir de um bom espaço de lazer, o Parque da Paz, excelente para a prática de desporto ao ar livre, de atividades lúdicas e contacto com a Natureza.Tratamos do seu financiamento sem custos adicionais, trabalhamos diariamente com todas as entidades bancárias de forma a garantir a melhor solução de crédito habitação para si.Para mais informações contacte:Pedro SilvaSCI Imobiliária#ref:9536"
4,2023-09-05 18:00,"Charneca de Caparica e Sobreda,Almada,Setúbal",,2800000.0,08-10,Moradia T5 Duplex,2021,https://supercasa.pt/venda-moradia-t4-almada/i657049,361.0,360.59,7765.051720790926,4,3,,1,1,,"Moradia Nova T4+1 1200 m2 Lote com Cave Pronta a HabitarUma moradia totalmente isolada inserida num lote de 1200 m2 no coração da Herdade da AroeiraComposta por três pisos, englobando uma cave de 65 m2 com sala de cinemaNo piso térreo encontramos uma suite, ampla sala com 50 m2 e cozinha totalmente equipada com zona de península e ilhaO piso superior integra três quartos, sendo dois deles suite com acesso a uma zona privativa de terraçoEquipamentos especiais:- Ar condicionado em toda a casa;- Totalmente equipada com marca AEG: forno, micro-ondas, placa indução, exaustor, máquina de lavar loiça, Side By Side, lava-loiça em Inox, arca de vinhos;- Zona de lavandaria equipada com máquina de lavar roupa e secar e roupeiros;- Vídeo Porteiro;- Aspiração Central;- Garagem com portões automáticos (interior e exterior);- Som Ambiente;- Painel Solar independente com 500 litros de capacidade e com Bomba de calor de apoio ao mesmo;- Painéis FotoVoltaicos;- Alarme;- Piscina transbordante com tratamento a sal, com pastilha a cor preta, pré-instalação para bomba de calor;- Instalação de CCTV;- Furo artesiano;- Sistema de rega automático, relva natural e jardim- Piso Radiante hidráulico em toda a casa;- Sala de cinema pré-instalada na cave;- Domótica integral TELDAK/RTEC;O Condomínio da Herdade de Aroeira fica a apenas 25km do centro de Lisboa e a apenas a 600 metros da praia, sendo este Condomínio o maior complexo residencial e de golfe da Grande Lisboa.Com 350 hectares, milhares de pinheiros e vários lagos usufruindo de um micro-clima temperado, a Aroeira dispõem de 2 campos de golfe de campeonato de 18 buracos, escola de golfe, um acolhedor club house com snack-bar e loja de golfe, apartamentos e moradias, piscina tropical, quatro campos de ténis e zona comercial com várias lojas como peixaria, papelaria, clinica pediátrica, restaurante e supermercadoO empreendimento é vedado e tem portaria com segurança 24 horas por dia.Estas características transformam a Herdade da Aroeira num local de eleição quer para viver, ou para umas merecidas férias onde a prática do golfe, o lazer e o contacto com a natureza não impedem, pela proximidade, o usufruto de uma capital cheia de vida.Tratamos do seu financiamento sem custos adicionais, trabalhamos diariamente com todas as entidades bancárias de forma a garantir a melhor solução de crédito habitação para siVenha conhecer a sua casa nova!Tânia AlmeidaSCI Imobiliária#ref:8358"
5,2023-09-05 18:00,"Rua Catarina Eufémia, Caparica e Trafaria,Caparica e Trafaria,Almada,Setúbal",,187500.0,07-11,Apartamento T2,,https://supercasa.pt/venda-apartamento-t2-almada/i1224441,62.0,62.0,3024.1935483870966,2,1,,,1,,"Este apartamento é uma excelente opção para quem procura um apartamento acabado de remodelar no Monte da Caparica.A remodelação incluiu a rede elétrica, rede de esgotos e canalização.O apartamento tem bastante luz natural e fica numa cave ao nível do 1º andar de um prédio sem elevador, que se encontra em bom estado de conservação, com pintura recente.Áreas e caraterísticas:Cozinha com 10 m2 equipada com placa, forno, exaustor e termoacumulador;Sala com 9 m2;Quarto com 9,6 m2;Quarto com 9,6 m2;Casa de banho com 3,7 m2;Lavandaria / arrecadação com 3 m2;Zona de circulação com 9 m2.Para seu conforto e segurança, o apartamento está equipado com:Porta blindada;Vidros duplos oscilo-batentes;Estores elétricos:Tetos falsos com iluminação LED.Nas proximidades do LIDL e da Faculdade de Ciências e Tecnologia, tem ainda nas proximidades uma variedade de lojas, restaurantes, cafés e serviços que lhe permitem aceder a tudo o que precisa para o seu dia-a-dia.Beneficiando de uma excelente localização, este apartamento, pelas suas características, é uma excelente escolha tanto para habitação como para investimento.Excelentes acessos ao IC20, A33, Lisboa e às praias da Costa de Caparica.Informações adicionais:Valor mensal do condomínio - 20 €Certificado Energético - ’D’Ano - 1979Estamos disponíveis para lhe prestar qualquer esclarecimento sobre o apartamento e para agendar uma visita.***Atlantic é sinónimo de confiança e compromisso de lhe prestar um serviço de excelência, trabalhando consigo e para si em todas as fases do processo de compra.Utilizamos a tecnologia mais moderna existente no sector e fornecemos-lhe o conhecimento do mercado para que possa tomar a melhor decisão relativamente à compra de um imóvel.Somos profissionais. Dedicamos 100% do nosso tempo a esta atividade.Para sua comodidade, trabalhamos com uma agência Intermediária de crédito de acordo com as normas do Banco de Portugal, para que obtenha as melhores condições de financiamento existentes no mercado. Não deixe de nos consultar caso necessite de crédito.Conte connosco!#ref:ATL3371"
6,2023-09-05 18:00,"Costa da Caparica,Almada,Setúbal",,1350000.0,09-04,Moradia T4,1970,https://supercasa.pt/venda-moradia-t5-almada/i793697,220.0,220.0,6136.363636363636,5,5,,,1,,"Moradia geminada T5 com sótão aproveitado, totalmente remodelada, com área útil de 200m2, área bruta de 220m2, área terreno de 317m2.Composta no RC por:Sala em openspace, com vista para a piscina, com bastante luz natural;Cozinha com ilha, móveis termolaminados, tampo em silestone, equipada por forno, placa de indução, microondas, campânula, combinado de 2 portas e máquina de lavar loiça;Wc social;Quarto com zona closet;Lavandaria com máquina de lavar roupa;Wc social completo.Composta no 1ºandar por:Master suíte com closet e wc com base de duche;Quarto com roupeiros de abrir e varanda;Quarto com roupeiros de abrir e varanda;Wc social completo.Sotão aproveitado com wc social.Logradouro com uma área bastante agradável, com garagem, churrasqueira e piscina.Exposição Solar; SUL-ESTE.Equipada com vidros duplos, ar condicionado, aspiração central, estores elétricos, portões automáticos, vídeo porteiro, painéis solares, alarme, porta blindada e churrasqueira.Elevada a cidade em 9 de dezembro de 2004, a Costa da Caparica é conhecida pelas suas praias lindíssimas, com uma zona pedonal muito agradável, com bastante restauração, onde basta sair da praia, andar uns metros e fazer as suas refeições tranquilamente, ou apenas beber alguma coisa, apreciando a vista mar.Sendo que as praias, são uma das maiores atrações da Costa da Caparica, não fica só por aqui. Temos ainda o Farol da Chibata, ou o Convento dos Capuchos, contruído no ano de 1558, situado na Paisagem Protegida da Arriba Fóssil da Costa da Caparica, monumento onde se pode apreciar, não só a vista da Costa da Caparica, mas também Lisboa, Estoril e Cascais.A Costa da Caparica, tem uma zona histórica, com bastante comércio local.Nesta cidade, consegue estar em 20 minutos da capital.Não perca a oportunidade e deixe-se deslumbrar pela magnifica cidade!-----------------------------------------------------------------------------------------------------Useful area of 200m2, gross area of 220m2, land area of 317m2.House consisting of 3 floors.Composed in RC by:Open space room, overlooking the pool, with plenty of natural light;Kitchen with island, laminated furniture, silestone top, equipped with oven, induction hob, microwave, hood, 2-door refrigerator and dishwasher;Social toilet;Bedroom with closet area;Laundry room with washing machine;Complete social toilet.Composed on the 1st floor by:Master suite with dressing room and bathroom with shower base;Bedroom with open wardrobes and balcony;Bedroom with open wardrobes and balcony;Complete social toilet.Soto used with social wc.Backyard with a very pleasant area, with garage, barbecue and swimming pool.SOUTH-EAST.Double glazing, air conditioning, central vacuum, electric shutters, automatic gates, video intercom, solar panels, alarm, reinforced door and barbecue.Elevated to the status of city on December 9, 2004, Costa da Caparica is known for its beautiful beaches, with a very pleasant pedestrian area, with plenty of restaurants, where just leave the beach, walk a few meters and have your meals in peace, or just have a drink, enjoying the sea view.Since the beaches are one of the biggest attractions of Costa da Caparica, it’s not just here. We also have the Chibata Lighthouse, or the Capuchos Convent, built in 1558, located in the Protected Landscape of the Fossil Arrival of Costa da Caparica, a monument where you can enjoy not only the view of Costa da Caparica, but also Lisbon, Estoril and Cascais.Costa da Caparica has a historic area, with plenty of local commerce.In this city, you can be 20 minutes from the capital.Don’t miss the opportunity and let yourself be dazzled by the magnificent city!--------------------------------------------------------------------------------------------------------Surface utile de 200m2, surface brute de 220m2, surface de terrain de 317m2.Maison composée de 3 étages.Composé en RC par :Salle à aire ouverte, donnant sur la piscine, avec beaucoup de lumière naturelle;Cuisine avec îlot, meubles stratifiés, dessus en silestone, équipée d’un four, plaque à induction, micro-ondes, hotte, réfrigérateur 2 portes et lave-vaisselle ;Toilettes sociales ;Chambre avec placard;Buanderie avec machine à laver;Toilette sociale complète.Composé au 1er étage par :Suite parentale avec dressing et salle de bain avec receveur de douche ;Chambre avec placards ouverts et balcon;Chambre avec placards ouverts et balcon;Toilette sociale complète.Soto utilisé avec wc social.Cour arrière avec un espace très agréable, avec garage, barbecue et piscine.SUD-EST.Double vitrage, climatisation, aspiration centralisée, volets roulants électriques, portails automatiques, interphone vidéo, panneaux solaires, alarme, porte blindée et barbecue.Élevée au statut de ville le 9 décembre 2004, Costa da Caparica est connue pour ses belles plages, avec une zone piétonne très agréable, avec de nombreux restaurants, où il suffit de sortir de la plage, de marcher quelques mètres et de prendre ses repas en toute tranquillité. , ou simplement prendre un verre en profitant de la vue sur la mer.Puisque les plages sont l’une des plus grandes attractions de Costa da Caparica, ce n’est pas seulement ici. Nous avons également le phare de Chibata, ou le couvent des Capuchos, construit en 1558, situé dans le paysage protégé de l’arrivée des fossiles de Costa da Caparica, un monument où vous pourrez profiter non seulement de la vue de Costa da Caparica, mais aussi de Lisbonne, Estoril et Cascais.Costa da Caparica a une zone historique, avec beaucoup de commerce local.Dans cette ville, vous pouvez être à 20 minutes de la capitale.Ne manquez pas l’occasion et laissez-vous éblouir par la magnifique ville !#ref:13983"
7,2023-09-05 18:00,"Avenida Afonso de Albuquerque,Costa da Caparica,Almada,Setúbal",,1350000.0,07-11,Moradia Geminada T5 Triplex,2022,https://supercasa.pt/venda-moradia-t4-almada/i703119,,,,4,2,,1,2,1,"Moradia T4 Geminada, Costa da Caparica, com piscinaImóvel com acabamentos de topo, cozinha totalmente equipada com eletrodomésticos Teka, vidros duplos PVC, estores elétricos, ar condicionado, piscina, garagem, churrasqueira.A Costa da Caparica é conhecida pelas suas praias, que nos últimos anos têm vindo a desaparecer, principalmente junto à foz do rio Tejo. Desde há já alguns anos que se tem presenciado o desaparecimento das praias na Costa da Caparica, nomeadamente as praias junto à foz do rio Tejo, embora este fenómeno já se tenha espalhado às praias mais a sul. Várias medidas de protecção e reposição das praias foram tomadas ao longo dos anos como a criação de pontões e mais recentemente o paredão feito ao longo de várias praias do Norte da costa e a reposição de areia nas praias junto à foz do rio Tejo.Algumas das praias que constituem a Costa da Caparica são: Nova Praia, Praia do Castelo, Praia da Sereia, Praia de São João, Praia do CDS, Praia da Fonte da Telha, entre outras.Como ponto de interesse turístico, e sempre com bastante afluência, encontra-se o Convento dos Capuchos.Localização habitacional de excelência próxima dos acessos a Lisboa e a 5 minutos da praia, a Costa da Caparica é conhecida pelas suas praias, tais como: Nova Praia, Praia do Castelo, Praia da Sereia, Praia de São João, Praia do CDS, Praia da Fonte da Telha, entre outras.Como ponto de interesse turístico, e sempre com bastante afluência, encontra-se o Convento dos Capuchos.Somos intermediários de crédito vinculado, autorizado pelo Banco de Portugal, tratamos do deu crédito habitação de forma rápida e sem custos.Para mais informações contacte:Pedro SilvaSCI imobiliária#ref:9131"
8,2023-09-05 18:00,"Charneca de Caparica e Sobreda,Almada,Setúbal",,535000.0,08-31,Moradia T3 Duplex,2023,https://supercasa.pt/venda-moradia-t3-almada/i1205576,157.0,,,3,3,,1,,,"Moradia isolada T3, arquitetura contemporânea com garagem - Quintinhas, Charneca de Caparica.Dispõe de uma área bruta de 157m2, área de terreno com 300m2, e área útil de 120m2.Moradia com 2 pisos, composta por:R/c:- Sala com 40m2, com teto falso, chão vinil, e com vista para o jardim;- Cozinha 15m2, móveis lacados a branco, tampo em silestone, e teto falso;Equipada com forno, placa, campânula, combinado, microondas, máquina loiça, e máquina roupa.- Wc social completo com 3m2, teto falso, e janela;1º andar:- Hall de zona de circulação com 4m2, com teto falso, e chão vinil.- Suite 19m2, com chão flutuante, teto falso, closet de 5m2, varanda, e com WC completo com 6m2, teto falso, e janela;- Quarto com 13m2, com chão flutuante, teto falso, e roupeiro com portas de correr;- Quarto com 11m2, com chão flutuante, teto falso, roupeiro com portas de correr;- Wc completo e social com 6m2, chão flutuante, teto falso, e janela.Garagem com 18m2.Equipada com pré-instalação de ar condicionado, pré-instalação de alarme, aspiração central, porta blindada, vidros duplos, estores elétricos, painéis solares, e portões automáticos.Perto de comércio, farmácia, escolas, jardins e transportes públicos.Situada a 20 min. de Lisboa, 5 min. das praias, e 5 min. dos transportes.------------------------------------------------------------------------------------------Detached house T3, contemporary architecture with garage - Quintinhas, Charneca de Caparica.It has a gross area of 157m2, land area with 300m2, and useful area of 120m2.House with 2 floors, composed of:R / c:- Living room with 40m2, with false ceiling, vinyl floor, and overlooking the garden;- Kitchen 15m2, white lacquered furniture, silestone top, and false ceiling;Equipped with oven, hob, bell, combined, microwave, dishwasher, and washing machine.- Full social bathroom with 3m2, false ceiling, and window;1st floor:- Hall of circulation area with 4m2, with false ceiling, and vinyl floor.- Suite 19m2, with floating floor, false ceiling, closet of 5m2, balcony, and with full WC with 6m2, false ceiling, and window;- Bedroom with 13m2, with floating floor, false ceiling, and wardrobe with sliding doors;- Bedroom with 11m2, with floating floor, false ceiling, wardrobe with sliding doors;- Full and social bathroom with 6m2, floating floor, false ceiling, and window.Garage with 18m2.Equipped with pre-installation of air conditioning, pre-installation of alarm, central vacuum, armored door, double glazing, electric shutters, solar panels, and automatic gates.Close to commerce, pharmacy, schools, gardens and public transport.Located 20 min. from Lisbon, 5 min. from the beaches, and 5 min. Transport.------------------------------------------------------------------------------------------Maison individuelle T3, architecture contemporaine avec garage - Quintinhas, Charneca de Caparica.Il a une superficie brute de 157m2, une superficie de terrain de 300m2 et une surface utile de 120m2.Maison de 2 étages, composée de:R / c:- Salon avec 40m2, avec faux plafond, sol en vinyle, et donnant sur le jardin;- Cuisine 15m2, meubles laqués blancs, plateau en silestone, et faux plafond;Equipé de four, plaque de cuisson, cloche, combiné, micro-ondes, lave-vaisselle et lave-linge.- Salle de bain sociale complète avec 3m2, faux plafond et fenêtre;1er étage :- Hall de circulation avec 4m2, avec faux plafond, et sol en vinyle.- Suite 19m2, avec plancher flottant, faux plafond, placard de 5m2, balcon, et avec WC complet avec 6m2, faux plafond, et fenêtre;- Chambre avec 13m2, avec plancher flottant, faux plafond et armoire avec portes coulissantes;- Chambre avec 11m2, avec plancher flottant, faux plafond, armoire avec portes coulissantes;- Salle de bain complète et sociale avec 6m2, plancher flottant, faux plafond et fenêtre.Garage avec 18m2.Equipé de pré-installation de climatisation, pré-installation d’alarme, aspirateur central, porte blindée, double vitrage, volets électriques, panneaux solaires et portails automatiques.Proche commerce, pharmacie, écoles, jardins et transports en commun.Situé à 20 min. de Lisbonne, 5 min. des plages, et 5 min. Transport.#ref:14728"
9,2023-09-05 18:00,"Rua das Urzes,Charneca de Caparica e Sobreda,Almada,Setúbal",,,08-24,Moradia T3+1 Triplex,2023,https://supercasa.pt/venda-moradia-t3-almada/i1233475,305.0,305.0,,3,5,,1,1,,"Moradia T3 + 1 | Luxo Isolada | Herdade da Aroeira | GolfImóvel com revestimento em capoto, estores em brisas de proteção solar de forma a regular o sol no interior do imóvel.Iluminação 100% em Led, louças sanitárias suspensas ROCA.Caixilharia em alumínio com corte térmico, porta blindada dierre, cozinha totalmente equipa, video porteiro com ligação wi-fi, portões automáticos.Pavimento flutuante vinílico com rodapés em PVC, portas interiores lacadas a branco.Casas de banho com revestimento de pedra natural.Garagem, lavandaria e escritório com betão à vista.O Condomínio da Herdade de Aroeira fica a apenas 25km do centro de Lisboa e a apenas a 600 metros da praia, sendo este Condomínio o maior complexo residencial e de golfe da Grande Lisboa.Com 350 hectares, milhares de pinheiros e vários lagos usufruindo de um micro-clima temperado, a Aroeira dispõem de 2 campos de golfe de campeonato de 18 buracos, escola de golfe, um acolhedor club house com snack-bar e loja de golfe, apartamentos e moradias, piscina tropical, quatro campos de ténis e zona comercial com várias lojas como peixaria, papelaria, clinica pediátrica, restaurante e supermercadoO empreendimento é vedado e tem portaria com segurança 24 horas por dia.Estas características transformam a Herdade da Aroeira num local de eleição quer para viver, ou para umas merecidas férias onde a prática do golfe, o lazer e o contacto com a natureza não impedem, pela proximidade, o usufruto de uma capital cheia de vida.Tratamos do seu financiamento sem custos adicionais, trabalhamos diariamente com todas as entidades bancárias de forma a garantir a melhor solução de crédito habitação para siVenha conhecer a sua casa nova!Pedro SilvaGrupoSCI Imobiliária#ref:SCI9482"
10,2023-09-05 18:00,"Rua dos Castanheiros, Laranjeiro e Feijó,Laranjeiro e Feijó,Almada,Setúbal",,215000.0,08-25,Apartamento T3 Triplex,,https://supercasa.pt/venda-apartamento-t3-almada/i1289312,98.0,,,3,2,,,1,,"Excelente apartamento T3 com terraço de 15 m2 perto do Pavilhão Desportivo do Feijó. Tem também arrecadação no sótão.A localização é óptima visto estar nas imediações dos transportes públicos, comércio e serviços na área envolvente, e dos acessos para a A2 em direcção ao Sul ou para Lisboa e apenas a 10 minutos das praias da Costa de Caparica.O apartamento T3 é no 1º andar em prédio sem elevador. Condomínio 20€ por mês.O imóvel foi alvo de uma remodelação em 2021 com alteração interior tendo sido convertida a zona da sala e da cozinha numa área só, ficando assim em ’open kitchen’ com aspecto mais moderno e ganhando assim maior amplitude interior.A canalização é nova, instalação eléctrica nova, foi colocado chão flutuante, janelas e portas em PVC com vidro duplo com corte térmico e oscilobatentes.Um quarto em suíte, com porta do exterior blindada, ar condicionado na sala e num quarto, terraço com cerca de 15 m2 e com acesso por dois quartos.O apartamento com muita luz natural, visto ter duas frentes, nascente e poente. Facilidade de estacionamento.O apartamento tem também arrecadação no sótão.Somos intermediários de crédito devidamente autorizados pelo Banco de Portugal e fazemos a gestão de todo o seu processo de financiamento sempre com as melhores soluções do mercado.Garantimos um acompanhamento pré e pós-escritura.#ref:M10780"
